x,a_x
50,-5.093742354333338
51,-4.975327760605331
52,-4.886125563297001
53,-4.7869255817922
54,-4.70624123171186
55,-4.594073394674124
56,-4.519427947820214
57,-4.397515041009673
58,-4.315100602426176
59,-4.217809001937286
60,-4.121176206594071
61,-4.026154015996041
62,-3.9187987286757937
63,-3.849484278735303
64,-3.752262303652582
65,-3.6596403952981333
66,-3.555039033438964
67,-3.476292331033275
68,-3.389135454674704
69,-3.2914127339575763
70,-3.1908197715656774
71,-3.111824347141304
72,-3.005582102197113
73,-2.920794626037841
74,-2.8225043501536717
75,-2.7284304883555444
76,-2.631693933628885
77,-2.53216347715939
78,-2.43408069079177
79,-2.3190928029471536
80,-2.2267084015559284
81,-2.143073590448383
82,-2.0409983466680583
83,-1.9445676229488285
84,-1.8405633056497182
85,-1.737522987200349
86,-1.6416816101619116
87,-1.5363763855965633
88,-1.4410010097982324
89,-1.344385399647191
90,-1.2493643297667756
50,-5.071756782121233
51,-4.982791324500371
52,-4.895944878920052
53,-4.799040635987624
54,-4.703350897562498
55,-4.60485833084596
56,-4.494317589970192
57,-4.404336991718496
58,-4.307815499387241
59,-4.2136853360684015
60,-4.10931057552473
61,-4.029373938011987
62,-3.9366485896820698
63,-3.8487980348339073
64,-3.751275940773932
65,-3.6502037422390416
66,-3.559885465857853
67,-3.485538280238655
68,-3.3806224679331187
69,-3.279780511827286
70,-3.1913786876187973
71,-3.09684437608022
72,-3.008893356083415
73,-2.9158390444820843
74,-2.82500205895641
75,-2.724883030992157
76,-2.6188574198022256
77,-2.524648359293806
78,-2.429923210826853
79,-2.3405439508812487
80,-2.23335768320339
81,-2.1368944652493393
82,-2.0413205462894135
83,-1.9342612683640739
84,-1.838531998549793
85,-1.7300037902872338
86,-1.6352215975539177
87,-1.535122306697946
88,-1.4538912398626616
89,-1.3539218716425636
90,-1.2372435452501425
50,-5.0640302586095185
51,-4.948196115181728
52,-4.865316152946589
53,-4.758060760078617
54,-4.673172669669351
55,-4.571973318311638
56,-4.467439206416679
57,-4.374689020975342
58,-4.271807567438428
59,-4.181103250247286
60,-4.069739370441203
61,-3.997962020738705
62,-3.8965616676206376
63,-3.819011745971019
64,-3.7168829532342587
65,-3.618677138481984
66,-3.5329343536016764
67,-3.4462941354020904
68,-3.368231600580054
69,-3.264900246582738
70,-3.1614336533570566
71,-3.0759871481963836
72,-2.9687445854717605
73,-2.8884192997644473
74,-2.7894761505570638
75,-2.694118912567307
76,-2.600061284089912
77,-2.500277716909133
78,-2.4045072587940814
79,-2.289607715370694
80,-2.198788159046352
81,-2.114058379979146
82,-2.0116062556709338
83,-1.9116964121923978
84,-1.8084479753382037
85,-1.7027286122867284
86,-1.6111250496952492
87,-1.501997543076301
88,-1.4181359609453268
89,-1.32284263409716
90,-1.210328280261872
50,-5.050798048638005
51,-4.9564589192730955
52,-4.862311116683925
53,-4.771552480815915
54,-4.669359533522692
55,-4.575724243725317
56,-4.489021151634969
57,-4.3737237968298235
58,-4.28630058946612
59,-4.188957948408342
60,-4.100963420217015
61,-4.000888946132912
62,-3.9008418768102486
63,-3.8191773278439856
64,-3.726188341181239
65,-3.6319955941591267
66,-3.5222121476821857
67,-3.4575549994056116
68,-3.3432424416404984
69,-3.2463812185906074
70,-3.1611533954037996
71,-3.072803385450386
72,-2.985218711381928
73,-2.888119075050708
74,-2.7981545848145153
75,-2.699520328422348
76,-2.5901257050421203
77,-2.4967162196387775
78,-2.399237910748159
79,-2.3090177396925555
80,-2.202395475986561
81,-2.1058308664907104
82,-2.0100349909009276
83,-1.9062663195236782
84,-1.809128178784749
85,-1.702766324302645
86,-1.6061102485708254
87,-1.5077004815111767
88,-1.4149258113883072
89,-1.3072778885174399
90,-1.2160689811862893
50,-5.050871436555749
51,-4.953088047951862
52,-4.864313768626591
53,-4.7614466318985915
54,-4.668674842736408
55,-4.568609583705244
56,-4.462472781312451
57,-4.377508777012582
58,-4.278886375776527
59,-4.181390447438031
60,-4.069404466073097
61,-3.99798865183429
62,-3.8944677672688695
63,-3.817523443042766
64,-3.718246711687754
65,-3.6285306401838326
66,-3.535041880881595
67,-3.4452955232198472
68,-3.3652847569041677
69,-3.266976223862083
70,-3.1623576951537604
71,-3.0754550526489073
72,-2.970033987161811
73,-2.890167403415904
74,-2.7895562335402264
75,-2.6960109795053544
76,-2.599472869663701
77,-2.5043359972887984
78,-2.4050651064617363
79,-2.2939471046134745
80,-2.202293999117556
81,-2.115079724734006
82,-2.011334612655847
83,-1.9135071441011238
84,-1.8094259403664812
85,-1.7004144320388894
86,-1.614977854000163
87,-1.504731844653541
88,-1.42025768595697
89,-1.3307065270558678
90,-1.2120934449844425
50,-5.042293346383442
51,-4.954160519211032
52,-4.857037810026214
53,-4.7580320331163355
54,-4.6661285227183384
55,-4.566511944581076
56,-4.460700733023067
57,-4.373565742823731
58,-4.274981674369151
59,-4.178286985787437
60,-4.066132162704524
61,-3.994364495220597
62,-3.890662055232004
63,-3.8140086642032367
64,-3.714274287307529
65,-3.6230265054209956
66,-3.531543459990279
67,-3.439662046511853
68,-3.357680017989193
69,-3.263318761476829
70,-3.1582515970296234
71,-3.070523354077923
72,-2.9688779860765524
73,-2.890941817902343
74,-2.786903543986347
75,-2.694570576535474
76,-2.5922251261779126
77,-2.498006764050331
78,-2.402306972271228
79,-2.2974035432847097
80,-2.191566661593436
81,-2.10458704346156
82,-2.0080771428534834
83,-1.9096763437778757
84,-1.8079552085561335
85,-1.7013515255593041
86,-1.6088310022046262
87,-1.5028824493816506
88,-1.4185821091187416
89,-1.3268228893007716
90,-1.2020724924462074
50,-5.054649185135599
51,-4.948625427839538
52,-4.8546167676370535
53,-4.750419642860935
54,-4.674691108346429
55,-4.567246613627149
56,-4.483606760420949
57,-4.365780513780612
58,-4.278991418303774
59,-4.181157309830749
60,-4.093395060520399
61,-3.9976100354610207
62,-3.900076929432656
63,-3.818726732506631
64,-3.7244850526594067
65,-3.620722551858196
66,-3.5170568145287415
67,-3.4527855369538045
68,-3.3445565368338186
69,-3.2387843267976715
70,-3.15594741224835
71,-3.0708958203595738
72,-2.979340516736716
73,-2.8794722728126443
74,-2.7948909445330017
75,-2.6935848794792743
76,-2.5923758048336762
77,-2.494050353652853
78,-2.396894509741579
79,-2.2959228071027367
80,-2.2033040466175744
