c,g_t_x
1870,0
1871,0.043549844121862295
1872,0.03882277664165238
1873,0.032959098667086136
1874,0.05883908466067582
1875,0.05681953685969284
1876,0.09793620931634878
1877,0.12119120622693552
1878,0.09539480537141791
1879,0.10302247554835661
1880,0.10230305150706905
1881,0.10442097480224542
1882,0.09350163855417894
1883,0.1013501983781602
1884,0.1169582343436081
1885,0.1191351143887853
1886,0.13382823770331378
1887,0.15136599125193653
1888,0.13310939294715787
1889,0.1498849624355357
1890,0.14938751456988236
1891,0.1644229955331219
1892,0.18257487692401536
1893,0.1732858134626691
1894,0.20410193476385505
1895,0.23114713159775577
1896,0.2476908664669465
1897,0.24258247552955176
1898,0.26008348401055764
1899,0.2843321012906681
1900,0.2866896227401005
1901,0.30086444984745214
1902,0.3089099126851503
1903,0.3215773294041584
1904,0.32750472110318124
1905,0.3258311081378388
1906,0.3443930199227921
1907,0.3366961761402469
1908,0.3460486002657212
1909,0.35131222583929056
1910,0.34721811107049594
1911,0.3473140342834613
1912,0.3271939407200146
1913,0.3289537930860655
1914,0.3456833669157042
1915,0.331989503012736
1916,0.29300381448997
1917,0.40963456667579273
1918,0.3402585771704518
1919,0.3115867363729056
1920,0.33797457153569194
1921,0.3243869974520733
1922,0.329107851080034
1923,0.2920106371677077
1924,0.30692903848307257
1925,0.3150973579745881
1926,0.29737744664521815
1927,0.3077179202090975
1928,0.2918190312880452
1929,0.289476865263174
1930,0.2734665816194888
1931,0.2608091462638047
1932,0.25532448796722246
1933,0.23274039317726458
1934,0.21387077842318777
1935,0.18433737709336634
1936,0.18459440719361606
1937,0.16582312670881721
1938,0.15775343520903537
1939,0.15036776947754257
1940,0.14952420185119147
1941,0.17929632640726909
1942,0.19090026391569467
1943,0.17097357091667764
1944,0.1996958344701218
1945,0.20794293572521996
1946,0.21841158834223207
1947,0.2043149346034913
1948,0.23043226857696053
1949,0.23216499377335437
1950,0.21286482259358586
1951,0.23209891493891344
1952,0.24865277420955628
1953,0.26829206779420484
1954,0.28744714010386263
1955,0.26376908020012235
1956,0.26170611544466466
1957,0.26026147337301
1958,0.2651654823190983
1959,0.2595582204499391
1960,0.22709341696226945
1961,0.21509793720688497
1962,0.18424509286940274
1963,0.1909078009842525
1964,0.11780510610492896
1965,0.16085794258321895
1966,0.10817550956674665
1967,0.13569202209742648
1968,0.10088582815427065
1969,0
1870,0
1871,0.038302550729191386
1872,0.041695880205147105
1873,0.011227048671812827
1874,0.05417310675590392
1875,0.0654950871969967
1876,0.10080316846355183
1877,0.1183625012720201
1878,0.09850134636345238
1879,0.10470722303256082
1880,0.09584127864752796
1881,0.10616183199830516
1882,0.10141036215432161
1883,0.10662681134036991
1884,0.12050570769430739
1885,0.1138145534501795
1886,0.12668021893286543
1887,0.1659663704174608
1888,0.1294361808706536
1889,0.15969879025717493
1890,0.15700433235882275
1891,0.16897179873370877
1892,0.19080414023562442
1893,0.18932266828736266
1894,0.21243350849893652
1895,0.20196234616129252
1896,0.22877622573029904
1897,0.2455869329483685
1898,0.2636305733138216
1899,0.27192873920213967
1900,0.2898577027382582
1901,0.28361691258988925
1902,0.3144513404211979
1903,0.3272979021966768
1904,0.3364058666932973
1905,0.31962114743418957
1906,0.33289646580024257
1907,0.33229719144085346
1908,0.3460970634187062
1909,0.3448369992304388
1910,0.3417317393651778
1911,0.3275501926500084
1912,0.33014035799343006
1913,0.32596296377915096
1914,0.33106592608061364
1915,0.3221929753713341
1916,0.27214492714717825
1917,0.38749324468945845
1918,0.34316151078750395
1919,0.2944499611174615
1920,0.33808095735797417
1921,0.3184695174111296
1922,0.3218052804568838
1923,0.30062400782431525
1924,0.30540232642606485
1925,0.30356294179449395
1926,0.28966377547625827
1927,0.2993446782242664
1928,0.2936476344081298
1929,0.290141245826118
1930,0.28057621681115325
1931,0.24949888465107753
1932,0.23319851749635215
1933,0.21830430745651103
1934,0.21062581470523103
1935,0.187747632505178
1936,0.1659566374447672
1937,0.16108505749407967
1938,0.1460621936492456
1939,0.1432182270490932
1940,0.14915136413002367
1941,0.1655025650652201
1942,0.1692326688647745
1943,0.1881765780567331
1944,0.20548923553163895
1945,0.19701449426215928
1946,0.21056530771420953
1947,0.21089375368769198
1948,0.20835615126825646
1949,0.23451863455415772
1950,0.22907297363570822
1951,0.256314820690382
1952,0.2604943618757215
1953,0.2352234014039345
1954,0.2478159540565762
1955,0.2402755628344663
1956,0.2888430584237195
1957,0.27280599608626455
1958,0.24420140629219533
1959,0.24479585193149683
1960,0.23374456973420643
1961,0.18836206862556865
1962,0.15845519657351512
1963,0.12375970558703932
1964,0.14451395112017773
1965,0.13788445192621984
1966,0.12934975498291723
1967,0.12364848062999992
1968,0.11838941994921834
1969,0
1870,0
1871,0.031353014122138236
1872,0.016182732438140664
1873,-0.014622543298786747
1874,0.04163304905548039
1875,0.047527568205643696
1876,0.06342674522942493
1877,0.06635874820114633
1878,0.07842171832075288
1879,0.07807375276396944
1880,0.07333404343088955
1881,0.05991504846576154
1882,0.05976679829901138
1883,0.07080990048725572
1884,0.08412912313719655
1885,0.08059139538089297
1886,0.09128467116994829
1887,0.12858259172068323
1888,0.09826892464795993
1889,0.12600777094138518
1890,0.12796965097883398
1891,0.14119933128215356
1892,0.16565700413176276
1893,0.16165371461118427
1894,0.18586436112349047
1895,0.21260627930450884
1896,0.21309513532718333
1897,0.19711868943840005
1898,0.22755819409174197
1899,0.23525203999217764
1900,0.2532130381943869
1901,0.2528229160859989
1902,0.28699467581347277
1903,0.2995833085991198
1904,0.303568985990443
1905,0.30323701225571137
1906,0.3058965076192247
1907,0.3064724359911937
1908,0.3110028917902359
1909,0.3180508641817255
1910,0.3165587052198933
1911,0.3103590396839279
1912,0.29265688785464555
1913,0.2901407248059776
1914,0.306102453582431
1915,0.29588086734729396
1916,0.2544437804997182
1917,0.36950735355206715
1918,0.3139345864255772
1919,0.28012339174635215
1920,0.30953363070472534
1921,0.29007871792068785
1922,0.2898295157549681
1923,0.26861914338972537
1924,0.2794350546788698
1925,0.2835184000539667
1926,0.26571329312188696
1927,0.27076360194827126
1928,0.26485277233107485
1929,0.25747763182596917
1930,0.23768212344590647
1931,0.21950806960349514
1932,0.22003932609227486
1933,0.2020436675217233
1934,0.1844374065464523
1935,0.15165286679507572
1936,0.13342728947747318
1937,0.1368375201242699
1938,0.11691026322869773
1939,0.11569400792908527
1940,0.12547585342622206
1941,0.1422932923331971
1942,0.13265516242075998
1943,0.15028272377361948
1944,0.17779144835510072
1945,0.16813263276506393
1946,0.17861336389622529
1947,0.18680139960320194
1948,0.19534293055178573
1949,0.21693838917151984
1950,0.19825247102753019
