t,k_t
1960,0
1961,0.08153645908411078
1962,-0.002326675104155132
1963,0.047192186941153076
1964,0.0617419495335344
1965,-0.002214018598288459
1966,0.02295205806165687
1967,0.005028281438884176
1968,0.01203193202655599
1969,0.052262402090168615
1970,0.023616284455596496
1971,-0.005789008486154874
1972,-0.0239665354750166
1973,-0.037812940573215464
1974,-0.04917436629302565
1975,-0.06206951020070993
1976,-0.056278946261924825
1977,-0.07031193175578687
1978,-0.12098052761009966
1979,-0.12189686593688422
1980,-0.1689998940654059
1981,-0.17032342449622284
1982,-0.19456003629133067
1983,-0.20824852480397343
1984,-0.20984285257707874
1985,-0.23484663749315227
1986,-0.2443031055301681
1987,-0.27580661279058055
1988,-0.32393688375471563
1989,-0.3520110133785625
1990,-0.3485863816695987
1991,-0.3760084479926932
1992,-0.4013588710042438
1993,-0.4016068331310896
1994,-0.4103393389143794
1995,-0.4291237235441335
1996,-0.4315052567544887
1997,-0.4552548479618662
1998,-0.4783003455486154
1999,-0.48255467691108733
2000,-0.49088780756349143
2001,-0.5213980837458221
2002,-0.542641268033466
2003,-0.5455590485745695
2004,-0.5617667470093103
2005,-0.6101364397494088
2006,-0.6108188162991861
2007,-0.6482376476304553
2008,-0.6673844084987389
2009,-0.6615863373536041
2010,-0.6792171701354468
2011,-0.7038791700501581
2012,-0.7261779200767424
2013,-0.7250978841528627
2014,-0.7438062229839726
2015,-0.7984369647681734
2016,-0.7779456485569601
2017,-0.8013811462383559
2018,-0.8342741928803347
2019,-0.8374552209718984
1960,0
1961,0.07515484294345669
1962,-0.006207392217867719
1963,0.03873831438286042
1964,0.06386030796641749
1965,-0.005062064390722675
1966,0.03858931284251137
1967,0.003425677327634296
1968,0.001674719109905305
1969,0.053953676903138695
1970,0.0246771979756718
1971,-0.014179604538734333
1972,-0.015611952670225008
1973,-0.03790591550787541
1974,-0.04688058361293147
1975,-0.07214465027703633
1976,-0.055047058054036105
1977,-0.06654149106759268
1978,-0.13310644989122744
1979,-0.11943982341804817
1980,-0.1655325035327807
1981,-0.16231057171549887
1982,-0.18804351401323696
1983,-0.20340388896941797
1984,-0.2027662473488064
1985,-0.24559236415027677
1986,-0.22847569500173628
1987,-0.2588045491380422
1988,-0.32478423547750684
1989,-0.3385665854433984
1990,-0.3449771785880344
1991,-0.38086001974396116
1992,-0.4017405516952695
1993,-0.410433231771204
1994,-0.38964458247750855
1995,-0.44242703173335796
1996,-0.4296633722364158
1997,-0.4535482336677612
1998,-0.4685068066421965
1999,-0.4738079290810901
2000,-0.48415647023320857
2001,-0.487984369451751
2002,-0.5300002417976329
2003,-0.5256266861984785
2004,-0.5403612797179722
2005,-0.5878470483523113
2006,-0.6158061175309015
2007,-0.6526978482993712
2008,-0.6732982429948048
2009,-0.6653610981194543
2010,-0.6911440440827082
2011,-0.7118060217086328
2012,-0.7446910212802614
2013,-0.7103417346241067
2014,-0.7287803139469375
2015,-0.7855044928632073
