"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"apc",0.67,0.989,10,4.78957984153995e-88,0,1,"apc",20
"apc",0.783,0.567,1,4.78957984153995e-88,0,1,"apc",20
"apc",0.988,1,5,4.78957984153995e-88,0,1,"apc",20
"cbd",0,0,10,1.42005614717635e-88,0,1,"apc",20
"cbd",0,0,5,1.42005614717635e-88,0,1,"apc",20
"cbd",0,0,1,1.42005614717635e-88,0,1,"apc",20
"lc",0.128,0,1,2.64946341890404e-151,0,1,"apc",20
"lc",0.012,0,5,2.64946341890404e-151,0,1,"apc",20
"lc",0,0,10,2.64946341890404e-151,0,1,"apc",20
"m6",0,0,5,1,0,1,"apc",20
"m6",0.33,0.011,10,1,0,1,"apc",20
"m6",0.089,0.43,1,1,0,1,"apc",20
"rh",0,0.003,1,1.2528827355858e-116,0,1,"apc",20
"rh",0,0,5,1.2528827355858e-116,0,1,"apc",20
"rh",0,0,10,1.2528827355858e-116,0,1,"apc",20
"apc",1,1,10,8.28324245664218e-103,0,2,"apc",20
"apc",0.665,0.627,1,8.28324245664218e-103,0,2,"apc",20
"apc",0.735,1,5,8.28324245664218e-103,0,2,"apc",20
"cbd",0,0,10,1.28805298839825e-73,0,2,"apc",20
"cbd",0.265,0,5,1.28805298839825e-73,0,2,"apc",20
"cbd",0,0,1,1.28805298839825e-73,0,2,"apc",20
"lc",0,0,1,9.63615636577101e-162,0,2,"apc",20
"lc",0,0,5,9.63615636577101e-162,0,2,"apc",20
"lc",0,0,10,9.63615636577101e-162,0,2,"apc",20
"m6",0,0,5,1,0,2,"apc",20
"m6",0,0,10,1,0,2,"apc",20
"m6",0.335,0.369,1,1,0,2,"apc",20
"rh",0,0.004,1,2.92520285182015e-134,0,2,"apc",20
"rh",0,0,5,2.92520285182015e-134,0,2,"apc",20
"rh",0,0,10,2.92520285182015e-134,0,2,"apc",20
"apc",1,1,10,1.92004769148867e-81,0,3,"apc",20
"apc",0.812,0.719,1,1.92004769148867e-81,0,3,"apc",20
"apc",0.884,1,5,1.92004769148867e-81,0,3,"apc",20
"cbd",0,0,10,2.90472214162799e-66,0,3,"apc",20
"cbd",0,0,5,2.90472214162799e-66,0,3,"apc",20
"cbd",0,0,1,2.90472214162799e-66,0,3,"apc",20
"lc",0,0,1,3.97987187700725e-139,0,3,"apc",20
"lc",0,0,5,3.97987187700725e-139,0,3,"apc",20
"lc",0,0,10,3.97987187700725e-139,0,3,"apc",20
"m6",0.071,0,5,1,0,3,"apc",20
"m6",0,0,10,1,0,3,"apc",20
"m6",0.188,0.275,1,1,0,3,"apc",20
"rh",0,0.006,1,1.80429717276053e-110,0,3,"apc",20
"rh",0.044,0,5,1.80429717276053e-110,0,3,"apc",20
"rh",0,0,10,1.80429717276053e-110,0,3,"apc",20
"apc",0.316,0.021,10,7.36709812538374e-86,0,4,"apc",20
"apc",0.882,0.875,1,7.36709812538374e-86,0,4,"apc",20
"apc",0.792,0.999,5,7.36709812538374e-86,0,4,"apc",20
"cbd",0,0,10,1.18060258451808e-63,0,4,"apc",20
"cbd",0.079,0,5,1.18060258451808e-63,0,4,"apc",20
"cbd",0,0,1,1.18060258451808e-63,0,4,"apc",20
