"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"apc",0.918,1,10,1.43248028722828e-96,0,1,"mix_cbd_rh",20
"apc",0.826,0.876,1,1.43248028722828e-96,0,1,"mix_cbd_rh",20
"apc",0.608,1,5,1.43248028722828e-96,0,1,"mix_cbd_rh",20
"cbd",0,0,10,7.56260139349634e-36,0,1,"mix_cbd_rh",20
"cbd",0.203,0,5,7.56260139349634e-36,0,1,"mix_cbd_rh",20
"cbd",0,0,1,7.56260139349634e-36,0,1,"mix_cbd_rh",20
"lc",0,0,1,4.30516817509154e-134,0,1,"mix_cbd_rh",20
"lc",0.17,0,5,4.30516817509154e-134,0,1,"mix_cbd_rh",20
"lc",0,0,10,4.30516817509154e-134,0,1,"mix_cbd_rh",20
"m6",0,0,5,1,0,1,"mix_cbd_rh",20
"m6",0.082,0,10,1,0,1,"mix_cbd_rh",20
"m6",0,0.024,1,1,0,1,"mix_cbd_rh",20
"rh",0.174,0.099,1,4.33603198779846e-128,0,1,"mix_cbd_rh",20
"rh",0.018,0,5,4.33603198779846e-128,0,1,"mix_cbd_rh",20
"rh",0,0,10,4.33603198779846e-128,0,1,"mix_cbd_rh",20
"apc",1,1,10,9.87015875051553e-95,0,2,"mix_cbd_rh",20
"apc",0,0.124,1,9.87015875051553e-95,0,2,"mix_cbd_rh",20
"apc",0.915,0.99,5,9.87015875051553e-95,0,2,"mix_cbd_rh",20
"cbd",0,0,10,2.78376564669912e-39,0,2,"mix_cbd_rh",20
"cbd",0,0,5,2.78376564669912e-39,0,2,"mix_cbd_rh",20
"cbd",0,0,1,2.78376564669912e-39,0,2,"mix_cbd_rh",20
"lc",0.243,0.051,1,2.52726943043037e-130,0,2,"mix_cbd_rh",20
"lc",0,0,5,2.52726943043037e-130,0,2,"mix_cbd_rh",20
"lc",0,0,10,2.52726943043037e-130,0,2,"mix_cbd_rh",20
"m6",0.085,0.01,5,1,0,2,"mix_cbd_rh",20
"m6",0,0,10,1,0,2,"mix_cbd_rh",20
"m6",0.757,0.711,1,1,0,2,"mix_cbd_rh",20
"rh",0,0.114,1,8.38090754984181e-127,0,2,"mix_cbd_rh",20
"rh",0,0,5,8.38090754984181e-127,0,2,"mix_cbd_rh",20
"rh",0,0,10,8.38090754984181e-127,0,2,"mix_cbd_rh",20
"apc",0.487,0.932,10,4.92005542009419e-97,0,3,"mix_cbd_rh",20
"apc",0.987,0.773,1,4.92005542009419e-97,0,3,"mix_cbd_rh",20
